"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Identidad genética y filiación","Frieda Roxana del Águila Tuesta","Vox Juris","","","","","","225-249"
"Artículo","Competencias y prácticas científicas en el laboratorio de química: participación del alumnado de secundaria en la indagación","Beatriz Crujeiras Pérez","Enseñanza de las ciencias: revista de investigación y experiencias didácticas","","","","","","201-202"
"Artículo","Factores determinantes en la producción científica de los grupos de investigación en Colombia","Gladys Rueda Barrios, Manuel Rodenes Adam","Revista española de documentación científica","","","","","",""
"Artículo","Produção de currículo em uma escola do campo:: uma análise sobre inclusão","Tânia Maria de Lima, Mariana Rodrigues Athay de Dormevil","Roteiro","","","","","","1-24"
"Artículo","Solapamiento y singularidad de MEDLINE, WoS e IME para el análisis de la actividad científica de una región en Ciencias de la Salud","Rodrigo Costas, Luz Moreno, María Bordons Gangas","Revista española de documentación científica","","","","","","327-343"
"Artículo","Somnolencia diurna excesiva y los efectos del trabajo en la salud de trabajadores de enfermería","Kellen da Silva, Ariane Naidon Cattani, Maiara Carmosina Hirt, Anahlú Peserico, Rosângela Marion da Silva, Carmen Lúcia Colomé Beck","Enfermería global: Revista electrónica trimestral de enfermería","","","","","","263-301"
"Artículo","Uso cooperativo de Facebook en la planificación textual en la universidad","José Miguel Cornelio Ramos","Cuadernos de Investigación Educativa","","","","","",""
"Artículo","Our planet reveals its sensitive side","Michael Le Page","New scientist","","","","","",""
"Artículo","The world´s smallest hard drive","Andrew Rosenblum","New scientist","","","","","",""
"Artículo","La Investigación Activista Feminista: Un diálogo metódico con los movimientos sociales","Alejandra Araiza Díaz, Robert González García","Empiria: Revista de metodología de ciencias sociales","","","","","","63-84"
"Artículo","Persistencia del razonamiento equívoco en álgebra:: Una interpretación de su génesis escolar","Eddie Aparicio, Martha Jarero, Landy Sosa Moguel, Isabel Tuyub","Epsilon: Revista de la Sociedad Andaluza de Educación Matemática ""Thales""","","","","","","7-18"
"Artículo","Puerto Madryn, de pueblo a ciudad intermedia. La dinámica poblacional local a través de cinco retratos censales (1970-2010)","Sergio Andrés Kaminker, Diana Patricia Ortiz Camargo","Papeles de población","","","","","",""
"Artículo","Understanding the role of organizational factors in shaping the research careers of women academics in higher education","Georgeta Ion","NAER: Journal of New Approaches in Educational Research","","","","","","59-66"
"Artículo","Designing and Implementing Content-Based Courses in English with a Non-Language Faculty at a Public Colombian University","Fabio Alberto Arismendi Gómez, Claudia Díaz Mosquera, Leidy Natalia Salazar Valencia","Profile: Issues in Teachers' Professional Development","","","","","","113-134"
"Artículo","Estudio preliminar y discusión en el estudio de la evolución del razonamiento mecanístico en la resolución de problemas en física","María Viviana Nieva, Laura Buteler, Enrique Andrés Coleoni","Revista de enseñanza de la física","","","","","","175-183"
"Artículo","Solidaridad en el debate global y local: reflexión desde un análisis del caso chileno","José Antonio Román Brugnoli, María Alejandra Energici Sprovera, Sebastián Ignacio Ibarra González","Convergencia: Revista de ciencias sociales","","","","","","93-124"
"Artículo","Mujer y deporte: hacia la equidad e igualdad","Pedro García Avendaño, Zhandra Flores Esteves, Armando Rodríguez Bermúdez, Pedro Brito Navarro, Rubén Peña Oliveros","Revista venezolana de estudios de la mujer","","","","","","63-76"
"Artículo","Evaluación de competencias de los estudiantes universitarios basada en su proyecto profesional y vital","Rosario Gil-Galván","Tendencias emergentes en evaluación formativa y compartida: : IX Congreso Internacional de Evaluación Formativa y Compartida en Docencia Infantil","","","978-84-8102-761-7","","",""
"Artículo","Utilización de diferentes herramientas software para la enseñanza de la Geología ambiental","Albert Casas Ponsatí, Xavier Font Cisteró, Víctor Pinto Miguel","Enseñanza de las ciencias de la tierra: Revista de la Asociación Española para la Enseñanza de las Ciencias de la Tierra","","","","","","264-269"
"Artículo","Formación de los docentes de las Facultades de Ciencias de la Educación en TIC de la Comunidad Autónoma Valenciana","Miriam Agreda Montoro, María Angustias Hinojo Lucena, Antonio Manuel Rodríguez García, Santiago Alonso-García","Tecnología","","","","","","1489-1498"
"Artículo","Flipped Classroom aplicado en la universidad: didáctica de las Ciencias Sociales","Jesús Vélez Alonso","Almoraima: revista de estudios campogibraltareños","","","","","","189-196"
"Artículo","Catálogo de errores asociados al aprendizaje de la teoría de conjuntos","Mariela Lilibeth Herrera, Celsa Alvarez","Educare","","","","","","5-27"
"Artículo","Enseñanza de las destrezas lingüísticas del inglés a traves de herramientas tecnológicas: Wiki, presentación interactiva y webquest","Mary Allegra","Eduweb","","","","","","83-97"
"Artículo","Entornos virtuales de aprendizaje y su contribución al desarrollo de competencias en el marco de la convergencia europea","María Esther del Moral Pérez, María Teresa Bermúdez Rey, Lourdes Villalustre Martínez","RELATEC: Revista Latinoamericana de Tecnología Educativa","","","","","",""
"Artículo","Viajeros europeos y sus motivaciones para visitar Ecuador en el siglo XIX","María Belén Ortiz Chaves, Ana Cueva Navas, Marco David Zea Chávez","RICIT: Revista Turismo","","","","","","24-48"
"Artículo","«The Life of Varlaam Khutynsky» As A Source on the History of Childhood","Alexander Leonidovich Novoselov, Alla Arkadyevna Salnikova","Propósitos y representaciones","","","","","",""
"Artículo","Zooplankton richness in farm ponds of Andalusia (southern Spain): a comparison with natural wetlands","David León-Muez, Patricio Peñalver Duque, José Jesús Casas Jiménez, M. Juan, Francisca Fuentes Rodríguez, Irene Gallego Nogales, Julia Toja Santillana","Limnetica","","","","","","153-162"
"Artículo","Relación entre los casos de sífilis y la estrategia de salud de familia en el noreste del Brasil","Michael Machado, Isa Carolina Gomes Felix, Tatiana Farias de Oliveira, Matheus Santos Duarte, Antônio Carlos Barbosa Gama Filho","Enfermería global: Revista electrónica trimestral de enfermería","","","","","","305-340"
"Artículo","Tracing the trajectory of skill learning with a very large sample of online game players","Tom Stafford, Michael Dewar","Psychological Science","","","","","","511-518"
"Artículo","Run, a quake's on its way!","Aviva Rutkin","New scientist","","","","","",""
"Artículo","Seeing the non-stars: : (Some) sources of bias in past disambiguation approaches and a new public tool leveraging labeled records","Samuel L. Ventura, Rebecca Nugent, Erica R.H. Fuchs","Research Policy","","","","","","1672-1701"
"Artículo","NHS trials genetic analysis","Adam Vaughan","New scientist","","","","","",""
"Artículo","Historias de vida e investigación educativa a través de talleres prácticos. Un estudio exploratorio con alumnado de 1º de Grado de Educación Social","Olga Moreno Fernández, Nieves Martín Bermúdez","Hekademos: revista educativa digital","","","","","","92-101"
"Artículo","Cambio climático: Percepciones y discursos públicos","Christian Oltra, Rosario Solà, Roser Sala, Ana Prades López, Nuria Gamero","Prisma Social: revista de investigación social","","","","","",""
"Artículo","Nuevas tecnologías aplicadas a la actividad física y el deporte","Francisco de Borja Sañudo Corrales","Revista Española de Educación Física y Deportes: REEFD","","","","","","103-104"
"Artículo","Crisis en la enseñanza de la metodología cualitativa","Ericka López Sánchez","Andamios: revista de investigación social","","","","","","109-127"
"Artículo","El editor técnico: un perfil necesario para la profesionalización de la edición de revistas científicas en el entorno digital","Luis Rodríguez Yunta, Carlos Miguel Tejada Artigas","Anales de documentación: Revista de biblioteconomía y documentación","","","","","","9"
"Artículo","Investigar un planeta","Francisco Anguita Virella","Enseñanza de las ciencias de la tierra: Revista de la Asociación Española para la Enseñanza de las Ciencias de la Tierra","","","","","","195-207"
"Artículo","Disappearance of the glacier on Mama Cotacachi: ethnoecological research and climate change in the Ecuadorian Andes","R. Rhoades","Pirineos","","","","","","37-50"
"Artículo","Disidencias teóricas en el “que-hacer” del trabajo social: presupuestos en la definición de su objeto de intervención frente al contexto social actual","Verónica Lorena Contrera","Revista Tendencias & Retos","","","","","","17-26"
"Artículo","Aproximación a la ablación/mutilación genital femenina (A/MGF) desde la enfermería transcultural.: Una revisión bibliográfica.","Ismael Jiménez-Ruiz, María Pilar Almansa Martínez, María del Mar Pastor-Bravo, Florentina Pina Roche","Enfermería global: Revista electrónica trimestral de enfermería","","","","","","396-410"
"Artículo","Searching for electronic journal articles to support academic tasks. A case study of the use of the Finnish National Electronic Library (FinELib)","Pertti Vakkari, Sanna Talja","Information Research","","","","","",""
"Artículo","Análisis de los estereotipos sexistas en una muestra de estudiantes de Ciencias de la Educación","Mercedes Martín Berrido, Emilia Moreno Sánchez, M. Teresa Padilla-Carmona, Manuel Sánchez García","Revista de investigación educativa","","","","","","127-147"
"Artículo","Orientar las actuaciones pedagógico-educativas como via para el desarrollo y promoción de colectivos desfavorecidos","Enriqueta Molina Ruiz, Ana Martín Romera","Avances en Ciencias de la Educación y del Desarrollo","","","","","","636-642"
"Artículo","Análisis psicométrico de batería de talentos educativos y habilidades blandas, en alumnos de pedagogías de la Universidad de Playa Ancha, 2017","Raúl Pizarro Sánchez, Sonia Clark Lazcano, Arturo Pinto Guevara, Carlos González Morales, Nicolas Bonnefoy Valdes","Foro educacional","","","","","","47-67"
"Artículo","Percepción del alumnado de Educación Física y de Educación Primaria sobre diferenciales de género en las aulas universitarias: Estudio de caso","M. Alejandra Ávalos Ramos, María Ángeles Martínez Ruiz, María Encarnación Urrea Solano","Revista complutense de educación","","","","","","847-862"
"Artículo","Consumo de drogas y alcohol en dos programas académicos de la Universidad Intercontinental: resultados de la encuesta 2008","Marco Antonio Pulido Rull, Erika Barrera Novella, Guadalupe Huerta Palma, Fernanda Moreno Marquet","Revista Intercontinental de Psicología y Educación","","","","","","163-180"
"Artículo","El sistema estadístico nacional y la sociología: 50 años de experiencia","Susana Torrado","Revista argentina de sociología","","","","","","11-23"
"Artículo","Satisfacción y lealtad del cliente en las operaciones domésticas de las aerolíneas colombianas","Juan-Carlos Garmendia Mora","Fórum Empresarial","","","","","","97-127"
"Artículo","Valoración de las competencias TIC de los prestadores del servicio comunitario en la era digital","Milbet Rodríguez","Revista ciencias de la educación","","","","","","343-359"
"Artículo"," Narrativas populares sobre desastres. El caso de Amecameca ante el riesgo volcánico del Popocatépetl","Alejandra Toscana Aparicio, Anna María Fernández Poncela","CIENCIA ergo-sum","","","","","",""
"Artículo","Alfabetización en información: estudio de su impacto en estudiantes de último año del pregrado de las Facultades de Educación y Ciencias Naturales y Exactas en la Universidad de Playa Ancha de Ciencias de la Educación","Cristián Valenzuela Urra, Sergio Oliveros Castro","Estudios Hemisféricos y Polares","","","","","","20-40"
"Artículo","Formación de maestros para el fomento del desarrollo sostenible en Educación Infantil","Mercedes Ruiz Pastrana, Sandra Laso Salvador","Boletín ENCIC: Revista del Grupo de Investigación HUM-974","","","","","","166-169"
"Artículo","El sentido de la investigación educativa","Almudena Cotán Fernández","EA","","","","","","33-48"
"Artículo","Evaluación de OVA Scratch para la enseñanza del contenido “densidad”","Alexander Afanador Castañeda","Virtualidad","","","","","","56-75"
"Artículo","Estadísticas sobre las tesis de especialización en la provincia de Guantánamo","Antonio Lahera Rol, María Inés Jiménez de Castro Morgado, Idania Pérez Olivares","Revista Información Científica","","","","","","831-837"
"Artículo","El derecho médico y su transición a las nuevas tecnologías. Blockchain- health chain","José María Palacio, Jorge Fabián Villalba","Revista Blockchain e Inteligencia Artificial","","","","","","41-62"
"Artículo","Diseño e implementación de unidades didácticas integradas: AICLE en acción","María Elena Gómez Parra, Elisa Pérez Gracia, José M. Almodóvar Antequera, Adela González Fernández, David Bullejos Martín, Antonio R. Raigón Rodríguez, Angela María Larrea Espinar, Juan Luis Luengo Almena, Alberto Alvarez de Sotomayor Posadillo, Francisco Villamandos de la Torre","Revista de innovación y buenas prácticas docentes","","","","","","39-45"
"Artículo","Implementación del Sistema de Créditos Transferibles en carreras de Universidad de Los Lagos","Magaly Andrea Quintana Puschel","Revista Interedu: Investigación","","","","","","121-144"
"Artículo","Información y comunicación científica: ¿medir resultados o medir procesos? necesidad de un cambio de paradigma","Danays Damarys Perera López, María Aurora Soto Balbón","Etic@net: Revista científica electrónica de Educación y Comunicación en la Sociedad del Conocimiento","","","","","","132-146"
"Artículo","¿Es posible medir la calidad de vida en el ámbito asistencial? Historia, límites y posibilidades","Gilberto Alfonso Gamboa Bernal, Luis Enrique Echarte Alonso","Cuadernos de bioética","","","","","","13-28"
"Artículo","Caso de estudio, PoeTICs: literacidad, arte y tecnología en la formación docente en la Universidad de Sevilla-España","Elena Guichot Muñoz, Giulia De Sarlo, Mar Galera-Núñez","Formación Universitaria","","","","","","203-212"
"Artículo","Creatividad en estudiantes ingresantes de la Universidad Nacional de San Cristóbal de Huamanga de Ayacucho","Olga Hurtado Ambrocio","Revista Educación","","","","","","109-124"
"Artículo","Indicadores de eficiencia de la carrera de Agronomía de la Universidadde Ciego de Ávila","Mirna Morgado Martínez, Elsida Dorta Torres, Guillermo Pérez García","Educación y sociedad","","","","","","59-68"
"Artículo","On reconstructability of quadratic utility functions from the iterations in gradient methods","Farhad Farokhi, Iman Shames, Michael G. Rabbat","Automatica: A journal of IFAC the International Federation of Automatic Control","","","","","","254-261"
"Artículo","Relaciones entre aversión al riesgo y sobrecarga en la elección","David Felipe Villa Bedoya","Revista de Psicología: (Universidad de Antioquía)","","","","","","75-98"
"Artículo","Paleolítico y evolución humana en los manuales de segunda enseñanza del final del franquismo (1967-1976): elaboración de un discurso legitimado","Juan Antonio Martos Romero","Trabajos de Prehistoria","","","","","","11-28"
"Artículo","Niveles de representación externa de estudiantes de Educación Secundaria acerca de la división celular mitótica: Una experiencia con realidad aumentada","Francisco López Cortés, Eduardo Ravanal Moreno, ClaudioPalmas Rojas, Cristian Merino","Pixel-Bit: Revista de medios y educación","","","","","","7-38"
"Artículo","Compliance in the EU enlargement process: The limits of conditionality","Bernard Steunenberg, Antoaneta Dimitrova","European integration online papers ( EIoP )","","","","","",""
"Artículo","Crop coefficients and water use for cowpea in the San Joaquin Valley of California","W.R. DeTar","Agricultural water management: an international journal","","","","","","53-66"
"Artículo","Determinants of urban land market outcomes: Evidence from California","William K. Jaeger","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","966-973"
"Artículo","El papel del análisis por componentes principales en la evaluación de redes de control de la calidad del aire.","Josué M. Polanco Martínez","Comunicaciones en Estadística","","","","","","271-294"
"Artículo","Redes Sociales Virtuales y hábitos de multitarea entre estudiantes universitarios: una aproximación","Rocío Leticia Cortés Campos","Antrópica: Revista de Ciencias Sociales y Humanidades","","","","","","109-122"
"Artículo","Por qué hay menos mujeres en Filosofía: un punto ciego y sus explicaciones","Arantza Etxeberria Agiriano","Dilemata","","","","","","333-345"
"Artículo","Cuatro reflexiones sobre el acto pedagógico","Liberio Salazar Trujillo","Revista Paideia Surcolombiana","","","","","","25-29"
"Artículo","El consentimiento informado de los menores de edad en cirugía estética: situación actual legislativa","María Carmen Rodríguez Parrilla","Revista española de medicina legal: órgano de la Asociación Nacional de Médicos Forenses","","","","","","176-181"
"Artículo","La producción de tesis de antropología en la Universidad Academia de Humanismo Cristiano. Aproximación a algunas de sus características","Claudio Espinoza Araya, José M. Varas Insunza, Michelle Allendes, Hélida Carreño, Célia Merdji","Antropologías del Sur","","","","","","73-87"
"Artículo","Sentidos, prácticas y normativas asociadas a la inclusión de aulas virtuales complementarias en FACSO (UNICEN)","Florencia Torregiani, Exequiel Alonso","Virtualidad","","","","","","46-65"
"Artículo","Evolución de los planes de estudio de Educación Física y Ciencias de la Actividad Física en la Universidad de León: estudio de un (fra)caso","Miguel Vicente Pedraz, María Paz Brozas Polo","Retos: nuevas tendencias en educación física","","","","","","101-107"
"Artículo","Satisfacción de los estudiantes de grado con la formación en competencias transversales","Pilar Martínez Clares, Natalia González Morga","Actas XVIII Congreso Internacional de Investigación Educativa: interdisciplinariedad y transferencia (AIDIPE","","","","","","203-212"
"Artículo","Dequeísmo y queísmo en la Escuela Universitaria de Magisterio de Sevilla","Alberto Millán Chivite","Cauce: Revista Internacional de Filología","","","","","","135-170"
"Artículo","Legal Pluralism as a Theoretical Programme","Emma Patrignani","Oñati socio-legal series","","","","","","707-725"
"Artículo","Método experimental de aprendizaje para la Educación Ambiental en estudiantes y docentes de la Universidad Nacional del Centro del Perú","Rosa Haydeé Zárate Quiñones, Bertha Rita Castillo Edua","Revista Cubana de Ciencias Forestales: CFORES","","","","","",""
"Artículo","Una mirada retrospectiva en la conformación de una comunidad virtual de aprendizaje: un estudio con alumnos de posgrado","Rocío Belén Martín, Paola Verónica Rita Paoloni, María Cristina Rinaudo","RED: Revista de Educación a Distancia","","","","","","20"
"Artículo","Expectativas de los Doctorandos Chilenos: Insumos para la Elaboración de un Perfil de Egreso Doctoral","Karen P. Núñez Valdés, José González Campos, Silvia J. Sarzoza","Formación Universitaria","","","","","","3-14"
"Artículo","El léxico disponible en estudiantes marroquíes de ELE (nivel universitario): incidencia de la variable «sexo» y su correlación con el «curso académico»","Mohamed Serfati","Beoiberística","","","","","","153-180"
"Artículo","La fotografía como fuente histórica en el aula: Análisis de una metodología para la enseñanza de la Historia en la Educación Superior","Santiago Ponsoda López de Atalaya, Rubén Blanes Mora","Didáctica de las ciencias experimentales y sociales","","","","","","17-30"
"Artículo","Educar competencias emocionales en futuros profesores de Educación Física","Pere Lavega Burgués, Antoni Costes i Rodríguez, Queralt Prat Ambrós","Revista interuniversitaria de formación del profesorado: RIFOP","","","","","","61-73"
"Artículo","Estudio análisis y representación plástico-escultórica de la enfermedad de Alzheimer","Santiago Navarro-Pantojo","Revista de Bellas Artes: Revista de Artes Plásticas","","","","","","209-256"
"Artículo","Opinión pública e innovación: una exploración de las percepciones y actitudes de la sociedad española ante la innovación","Diana Iturrate Meras, Manuel Fernández Esquinas","Revista española de documentación científica","","","","","",""
"Artículo","Resultados del primer Sondeo de Rata de Agua, Arvicola sapidus Miller 1908, en España","Jacinto Román","Galemys: Boletín informativo de la Sociedad Española para la conservación y estudio de los mamíferos","","","","","","51-59"
"Artículo","New quantitative estimates on long-term military spending in Spain (1850-2009)","Oriol Sabaté Domingo","ICIP Working Papers","","","","","","1-65"
"Artículo","Assessment of measurement uncertainty for quantitative methods of analysis: Comparative assessment of the precision (uncertainty) of bacterial colony counts","Basil Jarvis, Alan J. Hedges, Janet E. L. Corry","International journal of food microbiology","","","","","","44-51"
"Artículo","Estimating the soil erosion cover-management factor at the European scale","Panos Panagos, Pasquale Borrelli, Katrin Meusburger, Christine Alewell, Emanuele Lugato, Luca Montanarella","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","38-50"
"Artículo","Evapotranspiration analysis and irrigation requirements of quinoa (Chenopodium quinoa) in the Bolivian highlands","Dirk Raes, S. E. Jacobsen, Magalí Garcia","Agricultural water management: an international journal","","","","","","119-134"
"Artículo","An analysis of possibilities for the establishment of a multipurpose and multidimensional cadastre in Poland","Monika Mika","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","446-453"
"Artículo","Interrogating the algorithms","Aviva Rutkin","New scientist","","","","","",""
"Artículo","When crowdsourcing meets lifelogging, magic happens","Catherine de Lange","New scientist","","","","","",""
"Artículo","Sophie in the snow: a simple approach to datalogging and modelling in physics","Adrian Oldknow, Pip Huyton, Ian Galloway","School Science Review","","","","","","83-87"
"Artículo","Maps that know you","Hal Hodson","New scientist","","","","","",""
"Artículo","Machines that listen","Aviva Rutkin","New scientist","","","","","",""
"Artículo","Digital doctors","Chris Baraniuk","New scientist","","","","","",""
"Artículo","The field guide, rebooted","Gregory R. Goldsmith","Science","","","","","","594-594"
"Artículo","Análisis de la variabilidad de nombres de autores españoles en depósitos digitales universitarios de acceso abierto: un estudio por áreas de conocimiento","Enrique Orduña Malea, María Fernanda Peset Mancebo, Antonia Ferrer Sapena","Revista española de documentación científica","","","","","","9-33"
"Artículo","Aproximación a la disciplina terminológica a través de las revistas especializadas","María Rosa Castro Prieto, María Dolores Olvera Lobo","Actas del I Congreso Internacional de la Asociación Ibérica de Estudios de Traducción e Interpretación.: Granada","","","","","","515-524"
"Artículo","Cybercriminals are cashing in","Chris Stokel-Walker","New scientist","","","","","",""
"Artículo","DNA home testing worries","Adam Vaughan","New scientist","","","","","",""
"Artículo","Code kept on ice for 1000 years","Adam Vaughan","New scientist","","","","","",""
"Artículo","El graffiti chicano en Austin (Tejas, Estados Unidos)","Miguel Ángel López Trujillo","Signo: revista de historia de la cultura escrita","","","","","","109-144"
"Artículo","Locating, Identifying, and Comparing Sub‐visible Paint Particles","Christopher S. Palenik, Ethan Groves, Joseph Insana, Skip Palenik","Journal of forensic sciences","","","","","","1851-1858"
"Artículo","Treatment of Intrabony Defects Using Guided Tissue Regeneration and Autogenous Spongiosa Alone or Combined With Hydroxyapatite/β-Tricalcium Phosphate Bone Substitute or Bovine-Derived Xenograft","Adrian Kasaj, Thomas E. Van Dyke, Gregor-Georg Zafiropoulos, Oliver Hofmann, Oren Weiss, Brita Willershausen","Journal of periodontology","","","","","","2216-2225"
"Artículo","Service quality of library front desk staff in medical colleges of Lahore","Waqar Ahmed, Muhammad Shahid Soroya, Ghulam Fareed Malik","Library Management","","","","","","12-22"
"Artículo","Using classification techniques for informal requirements in the requirements analysis-supporting system","Youngjoong Ko, Sooyong Park, Jungyun Seo, Soonhwang Choi","Information and software technology","","","","","","1128-1140"
"Artículo","An experimental study on the conversion between IFPUG and COSMIC functional size measurement units","Juan José Cuadrado Gallego, Luigi Buglione, María J. Domínguez-Alda, María Ángeles Fernández de Sevilla Vellón, José Antonio Gutiérrez de Mesa, Onur Demirors","Information and software technology","","","","","","347-357"
"Artículo","La evaluación docente en jaque: la visión de los funcionarios universitarios","María Isabel Arbesú García, José María García Garduño","Revista Iberoamericana de Evaluación Educativa","","","","","","171-185"
"Artículo","Design and implementation of 3D strata objects registration based on LADM – A case study in Malaysia","Nur Amalina Zulkifli, Alias A Rahman, Siew Chengxi Bernad","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","",""
"Artículo","Reboot and reform","Hal Hodson","New scientist","","","","","","24-25"
"Artículo","Share and share alike?","Douglas Heaven","New scientist","","","","","","22-23"
"Artículo","What do we know about Europe?","Carmen Rodríguez Santos, Julio Ignacio Abad González, Ana Rosa Pertejo Blanco, Francesco Casarin, Umberto Rosin, Stéphane Ganassali, Hans Rüdiger Kaufmann, Pirjo Laaksonen","Consumption culture in Europe: insight into the beverage industry / coord. por Carmen Rodríguez Santos","","","","","","1-71"
"Artículo","You are being replaced","Hal Hodson","New scientist","","","","","","18-19"
"Artículo","Google knows your ills","Hal Hodson","New scientist","","","","","","22-23"
"Artículo","Sensitive bandages know how you feel","Hal Hodson","New scientist","","","","","",""
"Artículo","Response to Comments on “Number-space mapping in the newborn chick resembles humans’ mental number line”","Rosa Rugani, Giorgio Vallortigara, Konstantinos Priftis","Science","","","","","","1438-1438"
"Artículo","Response to Comment on “Phylogenomics resolves the timing and pattern of insect evolution”","K. M. Kjer","Science","","","","","","487-487"
"Artículo","Indonesia's moratorium on new forest licenses: An update","Sean Sloan","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","37-40"
"Artículo","Indización y uso de los Descriptores MeSH en Hospitalización a Domicilio","Benjamín Palomo Linares, Julia Sánchez Tormo, Rubén Palomo Linares","Hospital a Domicilio","","","","","","83-91"
"Artículo","Number crunch","Edd Gent","New scientist","","","","","","40-44"
"Artículo","Genetic privacy attack","Adam Vaughan","New scientist","","","","","",""
"Artículo","Big tech´s inevitable fall from grace","Donna Lu","New scientist","","","","","",""
"Artículo","Percepções de alunos do terceiro ano do Ensino Médio sobre o corpo humano","Viviane Rodrigues Alves de Moraes, Renata Araújo Guizzetti","Ciencia & Educação","","","","","","253-270"
"Artículo","Experiencias para una Alfabetización Científica que Promueva la Justicia Ambiental en Distintos Niveles Educativos","José Manuel Pérez Martín, Beatriz Bravo Torija","Revista internacional de educación para la justicia social (RIEJS)","","","","","","119-140"
"Artículo","Farmland habitat diversity in Ireland","H. Sheridan, B. Keogh, A. Anderson, T. Carnus, B. J. McMahon, Stuart Green, G. Purvis","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","206-213"
"Artículo","Evolução biológica: ECO-EVO-DEVO na formação inicial de professores e pesquisadores","Thais Benetti Oliveira, Ana Maria de Andrade Caldeira, Fernanda da Rocha Brando","Góndola","","","","","","81-98"
"Artículo","An effort prediction framework for software defect correction","Alaa Hassouna, Ladan Tahvildari","Information and software technology","","","","","","197-209"
"Artículo","A framework for ensuring consistency of Web Services Transactions","Seunglak Choi, Hangkyu Kim, Hyukjae Jang, Jungsook Kim, Su Myeon Kim, Junehwa Song, Yoon-Joon Lee","Information and software technology","","","","","","684-696"
"Artículo","Aprendizaje basado en problemas para desarrollar alfabetización crítica y competencias ciudadanas en el nivel elemental","Aura González Robles, Frances Figarella García, José Soto Sonera","Actualidades Investigativas en Educación","","","","","",""
"Artículo","Actitud del personal profesional de Enfermería frente a la voluntad anticipada de la persona sobre su cuidado al final de la vida: caso de Costa Rica, 2011","Jerik Andrade Espinales, Viviana García Rojas, Daniel Martínez Esquivel, Carlos Miranda Otárola, Marilyn Quesada Morera, Katherine Vargas Villalobos","Revista Enfermería Actual en Costa Rica","","","","","",""
"Artículo","The Focus of Supervisor Written Feedback to Thesis/Dissertation Students","John Bitchener, Helen Basturkmen, Martin East","IJES","","","","","","79-98"
"Artículo","El desarrollo de las competencias docentes del profesorado universitario novel a partir del aprendizaje informal","Laia Encinar Prat","Actas XVIII Congreso Internacional de Investigación Educativa: interdisciplinariedad y transferencia (AIDIPE","","","","","","149-158"
"Artículo","Identificação de áreas susceptíveis à desertificação em bacia intermitente sazonal no semi-árido brasileiro","Flávio Rodrigues do Nascimento","Boletim Goiano de Geografia","","","","","","71-82"
"Artículo","Definitions for “palliative care”, “end-of-life” and “terminally ill” in oncology: a scoping review","Franciele Roberta Griebeler Cordeiro, Stefanie Griebeler Oliveira, Juliana Zeppini Giudice, Vanessa Pellegrini Fernandes, Adriéli Timm Oliveira","Enfermería: Cuidados Humanizados","","","","","","205-228"
"Artículo","Des rires de ""dominés"", déprise de l'enquêteur","Marc Derycke","Langage et société","","","","","","9-40"
"Artículo","The contribution of the Barcelona World Race to improved ocean surface information. A validation of the SMOS remotely sensed salinity","Jordi Salat, Marta Umbert, Joaquim Ballabrera, Pedro Fernández Velandia, Kintxo Salvador, Justino Martínez","Contributions to Science","","","","","","89-100"
"Artículo","The Role of Reactive Oxygen Species in Antibiotic-Mediated Killing of Bacteria","Tom Coenye, Heleen van Acker","Trends in microbiology","","","","","","456-466"
"Artículo","Colonization of Black Smokers by Hyperthermophilic Microorganisms","Reinhard Wirth","Trends in microbiology","","","","","","92-99"
"Artículo","Facing up to the facts: What causes economic perceptions?","Catherine E. de Vries, Sara B. Hobolt, James Tilley","Electoral Studies: An international Journal","","","","","","115-122"
"Artículo","Equine Herpesvirus 1 Myeloencephalopathy","Nicola Pusterla, Gisela Soboll Hussey","Veterinary Clinics of North America: Equine Practice: Equine Practice","","","","","","489-506"
"Artículo","Profit efficiency and habitat biodiversity: The case of upland livestock farmers in Ireland","T.M. van Rensburg, Elias Mulugeta","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","200-211"
"Artículo","A researcher's guide to regression, discretization, and median splits of continuous variables","Derek D. Rucker, Blakeley B. McShane, Kristopher J. Preacher","Journal of Consumer Psychology","","","","","","666-678"
"Artículo","The role of context and motivation variables in mobile commerce usage � A further perspective on Chong (2013)","Volker G. Kuppelwieser, Marko Sarstedt, Sven Tuzovic","Technological Forecasting and Social Change","","","","","","156-161"
"Artículo","Valuing tradeoffs between agricultural production and wetland condition in the U.S. Mid-Atlantic region","Moriah B. Bostian, Alan T. Herlihy","Ecological Economics","","","","","","284-291"
"Artículo","Farm landscape change: Trends in upland and lowland England","Neil Ward, T. Marsden, Richard J. C. Munton","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","291-302"
"Artículo","Partisan bias, electoral volatility, and government efficiency","Leif Helland, Rune Sorensen","Electoral Studies: An international Journal","","","","","","117-128"
